A1_sigma,A1_omega,FUS_sigma,FUS_omega,EWSR1_sigma,EWSR1_omega,TIA1_sigma,TIA1_omega,fh_0.02_sigma,fh_0.02_omega,fh_0.14_sigma,fh_0.14_omega,fh_0.22_sigma,fh_0.22_omega
4.625222176969027,-0.202866106,4.272532536808096,-0.214277981,4.356689153087294,-0.212382704,4.401539280946473,-0.202147182,3.441303742474763,-0.17697807,3.041295846,-0.171803889,2.865820645230058,-0.16298416
4.2609880172790895,-0.19740904,3.8729625369543097,-0.178532446,3.704837496545618,-0.185850405,4.127180940936097,-0.207876284,2.8664839201850913,-0.112068376,2.609492032793573,-0.06363766,2.4694924346411913,-0.048526837
4.095690723444334,-0.193910775,3.8346312096607895,-0.174678905,3.3782367448785444,-0.136207088,4.330316166746573,-0.20192879,3.0433018482076952,-0.153387563,2.6412080994366725,-0.12060422,2.297087907503237,-0.050316545
4.259909306496996,-0.196240459,3.6702843527162567,-0.178558875,3.4069813715868706,-0.149592013,4.3131412213350835,-0.210092845,2.8515039465893377,-0.130290544,2.5004192926220425,-0.112093667,2.3520826623036184,-0.030374255
4.069065666749573,-0.190610572,3.6720171281844896,-0.182769345,3.3996401856662497,-0.148905358,4.242403787168699,-0.201566836,3.1269278832005414,-0.174145768,2.6274007583421346,-0.141476579,2.4239053628563103,-0.074358198
4.029606831824517,-0.181078086,3.7236483020891917,-0.173756643,3.4346254515924066,-0.172101824,4.235209310297881,-0.200806695,3.0099373487570857,-0.166813376,2.466112689386348,-0.071541883,2.354591677113203,-0.016905776
4.104897309910257,-0.185038699,3.7395541941934973,-0.176867559,3.335088104398755,-0.161937698,4.070530576,-0.200705434,3.079514964707111,-0.160827798,2.516702934889035,-0.080913128,2.3828220981799664,-0.075188311
4.227676834284225,-0.200213578,3.6842160830463992,-0.181963045,3.430620703059908,-0.179679534,4.205213482654276,-0.192836213,2.9864292012290297,-0.146757393,2.4831696211922165,-0.077430037,2.3753849635317863,-0.032496004
4.141538376199731,-0.192559159,3.6269984540314613,-0.178402537,3.320406271994675,-0.167258582,4.144619141945605,-0.199871789,2.953165830051481,-0.148653857,2.496710230910998,-0.054720602,2.2641440441545617,-0.035706442
4.2440991170847395,-0.193168524,3.6067187963494396,-0.180692657,3.2607004698425017,-0.17849248,3.9867358803987383,-0.195373683,2.856405097,-0.154221368,2.5584826953126374,-0.104383172,2.321611660384611,-0.015860653
4.019932358905602,-0.18284261,3.802125272368303,-0.179111022,3.3182515803893375,-0.176372666,4.101990378,-0.195519184,2.9166894368359038,-0.122149381,2.465992581185111,-0.06137035,2.2694525771845067,-0.039349851
3.9860086767107243,-0.19936089,3.6602507709369783,-0.173346459,3.3796173280269906,-0.171239343,4.080824413,-0.184938372,2.8121914731003264,-0.154236564,2.4276302870525797,-0.057222268,2.3308251514555445,-0.05959743
4.178191450715565,-0.183281056,3.733502966805527,-0.189183362,3.4123894132837367,-0.179339809,4.175966595360375,-0.204993766,3.0181776352235277,-0.153405923,2.524989097590867,-0.121162902,2.2992516208129343,-0.008648476
4.029731451585424,-0.186322065,3.6965983803489713,-0.180795487,3.2656756213205598,-0.143879645,4.103396599595797,-0.19440609,3.059529587321243,-0.17196702,2.3942649836550722,-0.06711872,2.290275161658281,-0.074341961
4.0514220638696505,-0.190528507,3.766575903638287,-0.181216635,3.2474942431449763,-0.13854637,4.0560187795433205,-0.193137207,2.943894088209183,-0.149938093,2.486874148057191,-0.079585267,2.2368874675481596,-0.031512474
4.080391480071944,-0.185240354,3.695519734633054,-0.182603172,3.314979044507581,-0.164200384,4.302679548840804,-0.202133007,2.80528172,-0.104925017,2.412878864,-0.072476536,2.2072986256382086,-0.03513051
4.005667588267411,-0.188255641,3.637489175396681,-0.175068055,3.294154931240815,-0.156549421,4.1700825154437595,-0.190174393,2.8858923437091932,-0.145097626,2.4617591059102137,-0.085705392,2.3512311400656527,-0.064961715
4.088931730132632,-0.188756652,3.719618573497213,-0.175847794,3.348539624934386,-0.171234058,4.157632261591678,-0.206770923,3.016426123668076,-0.146019479,2.526131471131625,-0.090751624,2.229083213568397,-0.010247261
3.9812089535422763,-0.186950789,3.8683228798169527,-0.182772221,3.3238467583573614,-0.1631564,4.098818446431709,-0.190894304,2.966368306,-0.150731087,2.571940533018143,-0.112184151,2.1959477381219683,-0.009762498
4.133966728340211,-0.196603726,3.737711410738718,-0.179267125,3.4003062816031453,-0.165057536,4.064633243927092,-0.197632149,3.1025056917224214,-0.145198914,2.515892463061201,-0.103299209,2.244785643663022,-0.026604706
3.9972226002803657,-0.19354515,3.7925236711907666,-0.188815627,3.2572404095249876,-0.132745837,4.082657926920475,-0.192693887,2.743663245138905,-0.131257122,2.494501682507191,-0.058589058,2.2250743964576207,-0.01704753
3.979803127438754,-0.201178025,3.9276009277870205,-0.181700814,3.3069669826325208,-0.162041863,4.168446778027709,-0.199291617,2.8722331486808286,-0.145552411,2.603911722671592,-0.123443682,2.340736552625489,-0.063001557
4.0563020515237955,-0.200626751,3.7278406948545784,-0.182507712,3.169330527,-0.130955422,4.3334795796367205,-0.21,2.870809214,-0.098161855,2.4877127773901204,-0.086293565,2.3954280447824345,-0.060580112
4.292767731124011,-0.200273473,3.779966865572692,-0.184307454,3.322745462546591,-0.166804462,4.180323585635548,-0.211406702,2.9526960747683693,-0.147846664,2.4347259960958203,-0.0358069,2.3271154529244704,-0.054671445
4.1691837739543995,-0.18989585,3.7783736461672204,-0.181877638,3.3709828338660577,-0.168821591,4.267986585,-0.201524754,2.873780286,-0.143971858,2.5086065000053352,-0.067269808,2.365225652322053,-0.053271035
4.121351915821423,-0.198314145,3.7877235716966613,-0.186446418,3.4048069443255904,-0.174040977,3.995243015843466,-0.178756172,3.020450575245662,-0.151629796,2.5010349746809246,-0.058088403,2.1869695183194784,-0.030834876
3.9538327430672355,-0.195766254,3.760808526224905,-0.182785335,3.4702040641468384,-0.178744752,4.105696218370029,-0.206458727,3.0597077629824154,-0.156639399,2.584924516770883,-0.127633386,2.3579454886628683,-0.022811172
4.018483347311299,-0.19776175,3.8787577665402995,-0.179297154,3.3443989669815317,-0.165988583,4.118807112157863,-0.209213547,2.8912385222270403,-0.170872554,2.475243858546215,-0.079998406,2.210539976696696,-0.039783877
3.83784595,-0.190358162,3.8635629994450005,-0.188827001,3.300578383092245,-0.160328655,4.036751948132633,-0.202183289,3.1984291472525195,-0.173325462,2.430417403225975,-0.057928738,2.2976986380690487,-0.033816209
3.949397936,-0.193123791,3.7993451506540845,-0.17878007,3.4119661307488514,-0.171460435,4.263339099070678,-0.184443546,3.036290399126652,-0.15857321,2.374550089434645,-0.020314706,2.333557019805949,-0.060006991
4.102843696010069,-0.187874992,3.828719957688382,-0.187804838,3.309448621660383,-0.157759148,4.313500033608996,-0.189501129,2.876662394966215,-0.157911409,2.4738676736277667,-0.042699223,2.318759244937109,-0.064307953
4.099109767670285,-0.19607712,3.5759272777654716,-0.177232668,3.362815356949427,-0.16282759,4.286532503779452,-0.203326187,2.9154645749528902,-0.151444226,2.459571836164478,-0.116758951,2.320707603804282,-0.042459759
4.032464475631621,-0.182305805,3.6615799445047448,-0.178804228,3.2876624152019653,-0.16779806,4.271989246782796,-0.187490352,2.880415200055788,-0.144218898,2.549427425994197,-0.113093072,2.3265156699624363,-0.060044573
4.101339220456751,-0.200460873,3.7634345375332434,-0.179151711,3.4041275720297595,-0.180983402,4.22306025,-0.192813207,3.0116032206233356,-0.163236837,2.4801047071338354,-0.117104284,2.139996899586145,-0.002058898
4.0993544720039425,-0.191687223,3.727166106241634,-0.189502229,3.358271350905815,-0.165154271,4.464165236805866,-0.198981,2.7436593225854584,-0.17184953,2.444326497948002,-0.088472547,2.2461351768905082,-0.042250922
4.073445968123114,-0.193929158,3.6776467031232203,-0.181596798,3.407440388,-0.180923002,4.225385728,-0.202134103,3.142635071735679,-0.172221377,2.403869565620052,-0.101141537,2.2905323578871823,-0.041953797
3.967360246885652,-0.185368555,3.868227330557699,-0.186691141,3.341228080193031,-0.162768087,4.223836690513834,-0.201065483,2.9137992954002097,-0.162744889,2.465793357165452,-0.075143115,2.3396685038259526,-0.059576103
3.8729101093768543,-0.198319894,3.8895939443035172,-0.187306542,3.4136264562837706,-0.179301598,4.224207853310004,-0.204679846,2.9431027679272703,-0.170016611,2.4939355466965933,-0.111950896,2.3038116981769243,-0.030495349
3.9278712582511988,-0.178572371,3.642815967717501,-0.165741663,3.3994000199034566,-0.165729462,4.018902847335515,-0.194688927,3.0261640881043053,-0.167698938,2.3514519326030046,-0.042008673,2.347201650238885,-0.062035
4.074463914549058,-0.188997627,3.6214980748476937,-0.173856942,3.3693317478278333,-0.165573366,4.1238577612372715,-0.192793399,3.016576717553541,-0.16815092,2.429097161030997,-0.078529068,2.2709050535175206,-0.026857727
4.002460128352927,-0.186343612,3.5986653430964513,-0.1761997,3.3255368360771764,-0.166078997,4.010779748284025,-0.196761951,2.770945190064163,-0.15005449,2.5378104917415665,-0.126665443,2.3861259280882297,-0.088951313
3.948834844122916,-0.189538861,3.713314462,-0.179841931,3.316000021793299,-0.169814779,4.164084288,-0.194553517,2.7300255360746637,-0.149880542,2.4968388886927926,-0.09775194,2.3080183244763406,-0.054294119
4.040864740100401,-0.201231862,3.7566686295842824,-0.183650934,3.278677437051914,-0.165065937,4.176645856735654,-0.187106351,3.0579446921235354,-0.161101854,2.4617510468690402,-0.076348569,2.2854905289165974,-0.044319261
4.237764330700765,-0.204220897,3.6987849583138033,-0.175411244,3.385673944915154,-0.169233215,4.3513431187709815,-0.197400832,2.9582937545372596,-0.150574964,2.519363749965303,-0.090839455,2.240837895507331,-0.042568364
4.1306747063664835,-0.211915107,3.8070665528874286,-0.186598193,3.3092297501043166,-0.157037607,4.183329917271868,-0.192745239,2.8629745058858544,-0.156823585,2.490703079956696,-0.071201766,2.291311765827473,-0.021682022
4.011178066286787,-0.194474342,3.537172273797641,-0.176851255,3.384460455483687,-0.170882461,4.110924208245143,-0.199418343,2.715066036448589,-0.14653551,2.520912128240579,-0.116261705,2.325720419054957,-0.052791547
3.9511350649943124,-0.187476721,3.655317615722647,-0.176551189,3.3178226428527817,-0.158604985,4.242803416,-0.207969245,2.894674196487646,-0.145728133,2.489632413000775,-0.095306491,2.3571791689508297,-0.050477791
4.100799958404189,-0.197890752,3.723108494502195,-0.185088276,3.3077695056134684,-0.156874288,4.224680136411602,-0.19524701,2.8172198097688597,-0.144155442,2.6783940039697205,-0.143333712,2.2671608237501624,-0.065570563
3.9317979338758358,-0.205872489,3.6376965716337337,-0.171365886,3.304935990717637,-0.158999199,4.002505492,-0.185607714,3.009896497586078,-0.15788212,2.3884217877069154,-0.063910589,2.203061874084031,-0.0156861
4.3206067361167015,-0.199581366,3.7621867627198546,-0.189053338,3.377440663545725,-0.162421325,4.164548946365884,-0.19557796,2.8955779288689767,-0.146066098,2.3969786809500375,-0.119318142,2.2842390519372535,-0.01703801