A1_t10_clique_timefreq,FUS_t10_clique_timefreq,EWSR1_t10_clique_timefreq,TIA1_t10_clique_timefreq,fh_0.02_t10_clique_timefreq,fh_0.14_t10_clique_timefreq,fh_0.22_t10_clique_timefreq
0.11,0.19,0.085,0.17,0.16,0.44,0.245
0.145,0.27,0.055,0.105,0.325,0.47,0.535
0.155,0.18,0.105,0.105,0.275,0.37,0.455
0.18,0.175,0.25,0.15,0.205,0.57,0.505
0.085,0.175,0.125,0.145,0.28,0.23,0.25
0.135,0.235,0.115,0.16,0.13,0.54,0.29
0.135,0.15,0.165,0.14,0.52,0.405,0.235
0.195,0.145,0.1,0.135,0.285,0.39,0.61
0.09,0.165,0.26,0.2,0.135,0.19,0.29
0.145,0.265,0.125,0.11,0.6,0.475,0.115
0.185,0.195,0.17,0.15,0.255,0.26,0.42
0.16,0.2,0.19,0.19,0.2,0.33,0.325
0.13,0.155,0.195,0.125,0.45,0.33,0.335
0.195,0.245,0.14,0.115,0.49,0.19,0.365
0.185,0.305,0.105,0.13,0.285,0.57,0.445
0.15,0.135,0.275,0.245,0.385,0.545,0.325
0.105,0.275,0.18,0.205,0.3,0.32,0.455
0.125,0.22,0.09,0.115,0.38,0.33,0.385
0.155,0.19,0.125,0.195,0.245,0.62,0.45
0.165,0.17,0.285,0.115,0.29,0.63,0.31
0.145,0.19,0.245,0.18,0.54,0.46,0.555
0.185,0.125,0.17,0.08,0.22,0.735,0.395
0.2,0.19,0.225,0.18,0.665,0.495,0.325
0.195,0.135,0.24,0.07,0.49,0.42,0.635
0.135,0.235,0.105,0.17,0.225,0.59,0.425
0.155,0.3,0.3,0.185,0.38,0.365,0.41
0.07,0.23,0.255,0.195,0.415,0.435,0.23
0.175,0.17,0.33,0.085,0.345,0.585,0.445
0.205,0.205,0.28,0.195,0.315,0.32,0.575
0.155,0.18,0.345,0.165,0.435,0.37,0.745
0.15,0.185,0.28,0.135,0.72,0.55,0.355
0.09,0.165,0.32,0.115,0.335,0.575,0.42
0.12,0.12,0.325,0.105,0.295,0.485,0.605
0.15,0.235,0.31,0.135,0.47,0.62,0.225
0.16,0.215,0.35,0.14,0.585,0.42,0.37
0.22,0.275,0.305,0.155,0.52,0.51,0.395
0.135,0.19,0.325,0.105,0.4,0.49,0.345
0.24,0.17,0.275,0.19,0.34,0.52,0.705
0.15,0.185,0.18,0.165,0.4,0.455,0.595
0.115,0.16,0.37,0.14,0.18,0.34,0.365
0.13,0.265,0.175,0.205,0.28,0.7,0.3
0.24,0.215,0.35,0.195,0.485,0.42,0.295
0.22,0.195,0.245,0.155,0.355,0.575,0.725
0.235,0.24,0.39,0.18,0.475,0.66,0.795
0.295,0.2,0.255,0.18,0.335,0.265,0.53
0.2,0.205,0.285,0.265,0.47,0.535,0.54
0.28,0.215,0.41,0.25,0.335,0.38,0.725
0.18,0.18,0.34,0.185,0.515,0.415,0.375
0.19,0.2,0.28,0.155,0.385,0.335,0.44
0.185,0.235,0.365,0.195,0.615,0.435,0.32
0.26,0.16,0.275,0.23,0.335,0.525,0.355
0.275,0.185,0.395,0.21,0.325,0.54,0.64
0.15,0.18,0.225,0.275,0.6,0.38,0.545
0.235,0.26,0.36,0.25,0.385,0.55,0.485
0.325,0.335,0.43,0.28,0.345,0.46,0.65
0.22,0.14,0.205,0.27,0.465,0.36,0.71
0.195,0.16,0.22,0.235,0.365,0.235,0.63
0.26,0.27,0.235,0.255,0.605,0.535,0.655
0.22,0.255,0.51,0.33,0.535,0.58,0.46
0.245,0.3,0.25,0.26,0.29,0.73,0.64
0.29,0.2,0.295,0.265,0.52,0.735,0.715
0.3,0.25,0.34,0.235,0.355,0.51,0.71
0.12,0.19,0.38,0.295,0.665,0.425,0.36
0.29,0.195,0.33,0.24,0.505,0.475,0.385
0.185,0.245,0.41,0.295,0.53,0.375,0.29
0.26,0.23,0.32,0.18,0.585,0.385,0.375
0.355,0.3,0.315,0.325,0.425,0.475,0.775
0.295,0.2,0.385,0.3,0.355,0.685,0.505
0.285,0.26,0.2,0.305,0.3,0.56,0.58
0.26,0.185,0.21,0.37,0.36,0.365,0.52
0.285,0.235,0.185,0.27,0.39,0.445,0.42
0.25,0.28,0.23,0.315,0.495,0.29,0.66
0.23,0.21,0.18,0.335,0.555,0.59,0.57
0.27,0.175,0.24,0.35,0.645,0.49,0.595
0.325,0.23,0.225,0.365,0.51,0.405,0.47
0.26,0.235,0.39,0.265,0.69,0.445,0.35
0.26,0.24,0.23,0.26,0.245,0.385,0.49
0.225,0.27,0.28,0.3,0.065,0.325,0.575
0.3,0.23,0.245,0.305,0.035,0.355,0.76
0.21,0.335,0.32,0.3,0.4,0.3,0.68
0.265,0.345,0.345,0.22,0.65,0.585,0.33
0.245,0.21,0.435,0.455,0.235,0.52,0.525
0.285,0.335,0.225,0.215,0.36,0.615,0.6
0.265,0.355,0.3,0.32,0.505,0.655,0.35
0.37,0.285,0.4,0.34,0.345,0.595,0.42
0.405,0.235,0.155,0.3,0.365,0.685,0.515
0.31,0.185,0.26,0.24,0.2,0.405,0.69
0.275,0.285,0.25,0.235,0.425,0.435,0.37
0.245,0.32,0.43,0.305,0.195,0.7,0.65
0.26,0.27,0.335,0.285,0.355,0.64,0.645
0.265,0.305,0.335,0.245,0.355,0.375,0.43
0.335,0.265,0.24,0.255,0.405,0.705,0.55
0.32,0.265,0.41,0.315,0.425,0.43,0.515
0.29,0.42,0.42,0.43,0.395,0.65,0.76
0.38,0.275,0.455,0.315,0.715,0.5,0.425
0.36,0.18,0.32,0.39,0.29,0.665,0.56
0.4,0.225,0.38,0.25,0.345,0.605,0.475
0.25,0.195,0.325,0.285,0.405,0.23,0.45
0.36,0.255,0.22,0.24,0.31,0.425,0.59
0.305,0.245,0.305,0.24,0.355,0.36,0.43
0.315,0.22,0.275,0.34,0.39,0.43,0.55
0.305,0.295,0.325,0.37,0.51,0.435,0.495
0.275,0.425,0.35,0.35,0.63,0.4,0.62
0.215,0.28,0.375,0.24,0.435,0.39,0.655
0.375,0.29,0.39,0.325,0.46,0.345,0.48
0.29,0.25,0.28,0.33,0.54,0.38,0.38
0.28,0.24,0.23,0.28,0.345,0.69,0.475
0.26,0.365,0.305,0.29,0.725,0.675,0.71
0.265,0.325,0.4,0.315,0.565,0.615,0.635
0.355,0.21,0.325,0.325,0.135,0.735,0.815
0.225,0.33,0.52,0.345,0.645,0.4,0.455
0.27,0.335,0.145,0.36,0.38,0.31,0.31
0.265,0.305,0.245,0.345,0.305,0.34,0.485
0.285,0.275,0.42,0.23,0.49,0.26,0.865
0.325,0.305,0.27,0.385,0.63,0.635,0.515
0.31,0.275,0.265,0.36,0.67,0.345,0.43
0.29,0.335,0.375,0.265,0.41,0.5,0.385
0.25,0.345,0.305,0.325,0.565,0.465,0.67
0.365,0.205,0.355,0.345,0.305,0.8,0.76
0.265,0.205,0.305,0.26,0.375,0.47,0.46
0.23,0.375,0.2,0.295,0.41,0.415,0.435
0.22,0.305,0.14,0.33,0.44,0.42,0.79
0.28,0.285,0.375,0.325,0.37,0.47,0.545
0.29,0.335,0.425,0.38,0.38,0.275,0.35
0.395,0.33,0.35,0.245,0.465,0.495,0.785