A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_norm_rg,A1_log10_norm_rg_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_norm_rg,FUS_log10_norm_rg_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_norm_rg,EWSR1_log10_norm_rg_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_norm_rg,TIA1_log10_norm_rg_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_norm_rg,fh_0.02_log10_norm_rg_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_norm_rg,fh_0.14_log10_norm_rg_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_norm_rg,fh_0.22_log10_norm_rg_err
-2.940510903,0.001468666,-1.309125349,0.005060669,-2.929200566,0.001240467,-1.345010548,0.004617798,-2.940554546,0.001200252,-1.457927596,0.005215147,-2.987306933,0.001614451,-1.20081037,0.005197299,-2.90994579,0.002448349,-1.40858867,0.007210208,-2.919389294,0.002376347,-1.442515691,0.006200484,-2.932401026,0.002768292,-1.468350954,0.006021589
-2.870226174,0.001252755,-1.302895273,0.005256635,-2.866989605,0.001184637,-1.327961014,0.005026025,-2.881335356,0.001088631,-1.445817583,0.004935984,-2.914785364,0.001344438,-1.203637702,0.005303142,-2.815662887,0.002455863,-1.38840698,0.0075274,-2.825933585,0.002071965,-1.433247475,0.006271558,-2.845950244,0.001831225,-1.462211719,0.006583706
-2.813955587,0.001017398,-1.289729801,0.005369946,-2.810728962,0.000961718,-1.328299323,0.00508373,-2.829169241,0.001008623,-1.444828875,0.004933255,-2.851937699,0.001230951,-1.19450964,0.005722564,-2.734774132,0.001964262,-1.408656128,0.006503064,-2.755906869,0.001462959,-1.434649804,0.006200338,-2.785944616,0.001697948,-1.456465869,0.006474422
-2.76486735,0.000857787,-1.292003311,0.005564452,-2.763746028,0.000906225,-1.333154674,0.005024585,-2.782435652,0.000844624,-1.441297161,0.005091958,-2.793421607,0.001017779,-1.181755308,0.005574695,-2.663143878,0.001585326,-1.393592341,0.006908586,-2.702005275,0.001411925,-1.440913988,0.005945145,-2.722354713,0.001549892,-1.452039191,0.006535367
-2.725332691,0.000796828,-1.303184154,0.004791622,-2.724191013,0.000761769,-1.306548938,0.005393323,-2.740083417,0.000762774,-1.434586389,0.004716898,-2.745339252,0.000990015,-1.197213275,0.005157894,-2.602122655,0.001349606,-1.398903238,0.0072386,-2.653028309,0.001152704,-1.409559419,0.007747791,-2.670195919,0.001164682,-1.454584204,0.006242652
-2.681299388,0.000879576,-1.284975374,0.005411802,-2.685565627,0.00070735,-1.316550868,0.005439902,-2.701565135,0.000683958,-1.441876962,0.004669521,-2.69582643,0.000877653,-1.176386417,0.005698498,-2.552701301,0.001316112,-1.398547085,0.006506258,-2.609522984,0.001108435,-1.412977825,0.007125597,-2.62974821,0.000949772,-1.44244363,0.007093017
-2.641518214,0.000776974,-1.281970088,0.004968935,-2.649048282,0.000744348,-1.315360462,0.005220431,-2.665875456,0.000673221,-1.424932393,0.005407172,-2.65603159,0.000727607,-1.175078206,0.005404143,-2.508777452,0.000937384,-1.384705437,0.008164824,-2.568800652,0.001005363,-1.407581377,0.006931691,-2.591400387,0.000886787,-1.43473465,0.006482802
-2.601652187,0.000700578,-1.288876617,0.005034436,-2.611494463,0.000713548,-1.310538486,0.005090855,-2.631932136,0.000646702,-1.422850098,0.005110844,-2.620243793,0.000679655,-1.175923953,0.005781489,-2.469898115,0.001074153,-1.379886232,0.007700495,-2.530630534,0.00092656,-1.420306637,0.006922639,-2.557832689,0.000832012,-1.423122598,0.007260799
-2.56676072,0.000697593,-1.284291612,0.005102132,-2.577881459,0.000593912,-1.307884417,0.0050789,-2.59796619,0.000631996,-1.425923224,0.00570593,-2.58289101,0.000804822,-1.172648033,0.005562082,-2.428441929,0.001136196,-1.380434639,0.007960024,-2.495465485,0.00104993,-1.413926628,0.007201343,-2.526947223,0.000846859,-1.435186122,0.006177063
-2.533811015,0.000630416,-1.268157606,0.005401444,-2.548426566,0.000581727,-1.302247594,0.005231735,-2.571440058,0.000493282,-1.421659804,0.004821479,-2.547764358,0.000671308,-1.171382833,0.005358627,-2.383934875,0.000982546,-1.388294719,0.007087362,-2.45943649,0.000796188,-1.405887992,0.006618319,-2.496638752,0.000735375,-1.42378745,0.006533141
-2.503136828,0.000594335,-1.275215819,0.005353811,-2.51780366,0.00060816,-1.300503828,0.005126924,-2.54331285,0.000610286,-1.424397259,0.005129173,-2.516752243,0.000621391,-1.164389029,0.005173881,-2.348118344,0.000924833,-1.390196068,0.007544383,-2.430070905,0.000756859,-1.397448993,0.007526265,-2.468949806,0.000663718,-1.420065597,0.007743992
-2.47278977,0.000575695,-1.278019259,0.005486045,-2.487288132,0.000615611,-1.302097003,0.005204266,-2.513571412,0.000551251,-1.419426679,0.005320206,-2.485662382,0.000607492,-1.158472943,0.005634993,-2.312208898,0.000861469,-1.37587992,0.006927594,-2.403027409,0.000662719,-1.39286655,0.007217114,-2.445610064,0.000671779,-1.426020385,0.007134311
-2.442729884,0.000568377,-1.26397312,0.005328796,-2.459482416,0.000542495,-1.292371471,0.005290618,-2.487309999,0.000527011,-1.400658613,0.005629341,-2.458259041,0.00046702,-1.157770918,0.005438626,-2.28064139,0.000718744,-1.371456365,0.007351398,-2.374282542,0.000737006,-1.410593562,0.00730151,-2.419499341,0.000654638,-1.424628174,0.007753115
-2.413572746,0.000611456,-1.260108091,0.005735536,-2.429986528,0.000568766,-1.296398542,0.005170994,-2.46179058,0.000506945,-1.410624038,0.005259209,-2.430757591,0.000598694,-1.151575756,0.005736405,-2.253260509,0.000776347,-1.376014301,0.007505999,-2.346299076,0.000640453,-1.402280026,0.007471186,-2.396864362,0.000563503,-1.418387228,0.006953593
-2.383599575,0.000549638,-1.264399911,0.005651463,-2.403408784,0.000533459,-1.293462903,0.005336025,-2.435946965,0.000498503,-1.409625292,0.00541291,-2.403132893,0.000503483,-1.156005897,0.005728762,-2.222474294,0.000836315,-1.378061025,0.007743891,-2.319663907,0.000740353,-1.396319233,0.00647251,-2.371686544,0.000714478,-1.412185121,0.007096462
-2.358908056,0.000460737,-1.261435787,0.005579814,-2.378291188,0.000442044,-1.287442641,0.005188003,-2.412515815,0.000470137,-1.414923218,0.005073707,-2.376340869,0.000523719,-1.15698358,0.005222579,-2.192203327,0.000846767,-1.361206668,0.007687853,-2.293912541,0.000674836,-1.390691236,0.007253034,-2.346724123,0.00062554,-1.411373508,0.006377711
-2.33261796,0.000567629,-1.254792347,0.005560258,-2.355241018,0.000450308,-1.296573449,0.004825905,-2.389767123,0.000468707,-1.396860354,0.005361041,-2.348773906,0.000506226,-1.152085585,0.004904307,-2.164311845,0.00065653,-1.369545738,0.008392484,-2.266382383,0.000658689,-1.395344143,0.007109955,-2.325804492,0.000542737,-1.400688363,0.006165381
-2.306324891,0.0004517,-1.250491002,0.005841882,-2.329331235,0.000472994,-1.277818142,0.005331801,-2.366119652,0.000452161,-1.39682488,0.00495773,-2.323773209,0.000491553,-1.158054948,0.00527115,-2.135396591,0.000753825,-1.35450993,0.007431577,-2.243054507,0.000586344,-1.38664138,0.006514028,-2.30155698,0.000643875,-1.407576704,0.006157116
-2.280518043,0.000502925,-1.257710714,0.005180579,-2.305092727,0.000520222,-1.281823808,0.005190705,-2.342811451,0.000467235,-1.398158922,0.005129299,-2.296792105,0.000479791,-1.1494529,0.00547891,-2.107008521,0.000751817,-1.360124302,0.006840532,-2.222564949,0.000512717,-1.387824633,0.007418657,-2.27785066,0.000595825,-1.390240539,0.006477813
-2.255646412,0.000472208,-1.245459601,0.005845962,-2.280819295,0.000505117,-1.284206874,0.005188738,-2.319547202,0.000429635,-1.402841362,0.00544531,-2.27158688,0.000517846,-1.141059931,0.005841694,-2.08036884,0.000666614,-1.356822061,0.008045665,-2.202635932,0.000518056,-1.364604446,0.007052181,-2.255157639,0.000574748,-1.398015016,0.006867506
-2.229839695,0.000511753,-1.236945064,0.006162488,-2.25727426,0.000466926,-1.278365891,0.005781585,-2.297939212,0.000422497,-1.393490368,0.005638818,-2.246701393,0.000498455,-1.139752816,0.005760139,-2.054133153,0.000695753,-1.37222922,0.007824723,-2.18131059,0.000559483,-1.375006463,0.007642378,-2.233623155,0.000521936,-1.397840296,0.006713398
-2.205206527,0.000483539,-1.238384364,0.005572851,-2.235640547,0.000403562,-1.280416729,0.005342951,-2.276618924,0.000418276,-1.388039808,0.005686321,-2.221010896,0.000457768,-1.139372682,0.005879641,-2.031032206,0.000527868,-1.348797487,0.006525921,-2.159873145,0.000632185,-1.372785303,0.006578189,-2.211816196,0.000531833,-1.393496289,0.007359865
-2.181167725,0.000438888,-1.239794418,0.005753377,-2.213902627,0.00046358,-1.263466839,0.005406391,-2.254019507,0.000421175,-1.392455343,0.00482774,-2.197424333,0.000454896,-1.143855235,0.005811861,-2.008783365,0.000675283,-1.352783477,0.007922416,-2.132549718,0.000701165,-1.380118081,0.007257969,-2.192213165,0.000522016,-1.371922025,0.006657599
-2.159785393,0.000427126,-1.23577118,0.005585113,-2.190539405,0.000485062,-1.277427544,0.00526097,-2.23242233,0.000427623,-1.379020964,0.005924657,-2.172568353,0.000492488,-1.129347776,0.005568726,-1.985905533,0.000634296,-1.361105592,0.007448669,-2.110015421,0.000510863,-1.36566518,0.00750872,-2.170728882,0.000653877,-1.3805627,0.006813276
-2.135080265,0.000519898,-1.229283587,0.004978143,-2.167526615,0.000463895,-1.26448881,0.005360693,-2.210862136,0.000416638,-1.377245865,0.005221697,-2.148666539,0.000444639,-1.127230955,0.005226185,-1.959406787,0.000619927,-1.345275417,0.007805168,-2.088054783,0.000600916,-1.363092107,0.007817638,-2.149949998,0.000456592,-1.395632423,0.006620536
-2.110239019,0.000473137,-1.231891923,0.006183891,-2.142927764,0.000466982,-1.266504767,0.0053726,-2.188526727,0.000491699,-1.379682318,0.005062286,-2.125220416,0.000471282,-1.127418746,0.006174938,-1.936486216,0.000604869,-1.345821003,0.007958139,-2.065812565,0.000513728,-1.365944038,0.006951675,-2.130412977,0.000507811,-1.382842405,0.006567667
-2.086953848,0.000455812,-1.23206646,0.005925178,-2.119303507,0.000479713,-1.254469992,0.005487724,-2.163182711,0.00046258,-1.383020642,0.005610988,-2.104582251,0.00036709,-1.117945534,0.006062977,-1.913188402,0.000637585,-1.359376213,0.007623497,-2.047145815,0.000476761,-1.375568962,0.006365586,-2.110785458,0.000533122,-1.376184108,0.006845504
-2.063241448,0.000486707,-1.226200647,0.005941651,-2.095184963,0.000458517,-1.262388363,0.005166397,-2.140188976,0.00046507,-1.376973179,0.005136112,-2.082652075,0.000461621,-1.115776558,0.00534595,-1.890398331,0.000558967,-1.34505887,0.008881372,-2.027371465,0.000595378,-1.355059794,0.007262007,-2.090800183,0.000540033,-1.378671823,0.006865598
-2.038595444,0.000457044,-1.218153278,0.006080732,-2.071851637,0.000452682,-1.260544375,0.005576363,-2.115645912,0.000452084,-1.373425974,0.005273533,-2.057647297,0.000460023,-1.134878968,0.00580283,-1.869413992,0.000534265,-1.346400883,0.007643679,-2.005565901,0.000535877,-1.349689683,0.007522424,-2.068916095,0.000583268,-1.380580768,0.007282789
-2.013896535,0.000486641,-1.203865625,0.005289447,-2.048755397,0.000449771,-1.262765485,0.005647601,-2.093964664,0.000429016,-1.362542121,0.005532596,-2.035158335,0.000405183,-1.122882495,0.005538598,-1.845858283,0.000672624,-1.332994782,0.006237277,-1.983896717,0.000617799,-1.353362139,0.007044277,-2.046497075,0.000558457,-1.35964675,0.007171135
-1.990989863,0.000418803,-1.208581647,0.00565209,-2.02556497,0.000498567,-1.256095701,0.005412449,-2.069016321,0.000504076,-1.359317004,0.005228534,-2.012422684,0.000529036,-1.108065273,0.005534524,-1.822859566,0.000547456,-1.332163288,0.008146744,-1.962485609,0.000492929,-1.342777373,0.007337504,-2.026496143,0.000516521,-1.378634266,0.007314403
-1.967667545,0.000481798,-1.199193695,0.005407091,-2.00064357,0.000463402,-1.246623212,0.00536224,-2.044029216,0.000503431,-1.357071194,0.005475891,-1.986579288,0.000500675,-1.121142869,0.005849833,-1.801267396,0.000496215,-1.336955247,0.007394742,-1.940391496,0.000710493,-1.35208591,0.007154103,-2.006481793,0.000565544,-1.363816237,0.006936772
-1.943999827,0.000473557,-1.208161114,0.005877053,-1.975076269,0.000569399,-1.248943607,0.005324382,-2.01885115,0.000517517,-1.36763429,0.005315727,-1.962722459,0.000446266,-1.109985198,0.006080268,-1.778310866,0.00060663,-1.326242557,0.007321618,-1.915044459,0.000576701,-1.366464451,0.006846409,-1.98614216,0.000543599,-1.357684067,0.007304949
-1.919313471,0.000529438,-1.215475914,0.006181981,-1.947576928,0.000543785,-1.247267803,0.005422811,-1.993207534,0.000523541,-1.350690312,0.00504894,-1.937321808,0.000478542,-1.106330961,0.005914369,-1.75405991,0.00069485,-1.3389622,0.006910772,-1.890746132,0.000686888,-1.360330563,0.006871766,-1.962792537,0.000670489,-1.371694367,0.007008835
-1.893641898,0.000498044,-1.213408288,0.005717378,-1.919909292,0.00054258,-1.227270893,0.005260542,-1.966134463,0.000457684,-1.34597286,0.005262269,-1.91337201,0.00050764,-1.101604214,0.005603722,-1.724819657,0.000767549,-1.320888268,0.007211756,-1.868149416,0.000580913,-1.323432348,0.007621654,-1.937244371,0.00062084,-1.346721699,0.007056689
-1.865145634,0.000549655,-1.204217287,0.005961162,-1.893286874,0.000500082,-1.232541877,0.005934518,-1.94042648,0.00046702,-1.340175779,0.005444424,-1.885496887,0.000479281,-1.117456931,0.005876448,-1.699308386,0.000619353,-1.317257497,0.007736846,-1.841939443,0.00067854,-1.336344955,0.008043692,-1.910677172,0.000663347,-1.343954353,0.0064692
-1.838612597,0.000580002,-1.200499787,0.005984767,-1.865108477,0.000586305,-1.221649291,0.005399143,-1.914937753,0.000599187,-1.344995324,0.005559393,-1.858403967,0.000510065,-1.090756886,0.006020685,-1.674980342,0.000714767,-1.329244245,0.007582707,-1.81388415,0.00079127,-1.335035734,0.007604697,-1.886413608,0.000643007,-1.339097661,0.007148728
-1.808574771,0.000585842,-1.189509429,0.005412594,-1.835332891,0.00059411,-1.214781933,0.005412333,-1.886822426,0.000523193,-1.343495593,0.005376587,-1.830857588,0.000574284,-1.087988814,0.006008005,-1.646676552,0.000715606,-1.323931682,0.006935243,-1.784908983,0.000638511,-1.323927292,0.007201431,-1.863617194,0.000640645,-1.356825717,0.006819311
-1.777651099,0.000612335,-1.189478539,0.005869786,-1.806114612,0.000592896,-1.221060128,0.005514394,-1.852261355,0.000753229,-1.332610864,0.00532403,-1.801968021,0.000580379,-1.101464743,0.005586622,-1.61553631,0.00088692,-1.317045624,0.007452416,-1.760068333,0.000662607,-1.317572386,0.008259257,-1.837052378,0.000646336,-1.340575528,0.00703379
-1.74024806,0.000840506,-1.17775775,0.00575391,-1.773069543,0.000759842,-1.212278549,0.005360715,-1.815159313,0.000675991,-1.31069339,0.005393997,-1.769070109,0.000639857,-1.080085147,0.006144907,-1.580998043,0.000929821,-1.316855181,0.007389621,-1.732255451,0.000828293,-1.318723811,0.007604837,-1.813079977,0.000594826,-1.34095081,0.006621583
-1.702417314,0.000684304,-1.168302674,0.005821008,-1.73645419,0.000683151,-1.212171062,0.005254623,-1.781667163,0.000749627,-1.326866945,0.005189454,-1.73407155,0.000779983,-1.076085042,0.005434833,-1.543394006,0.000918028,-1.30445663,0.006969937,-1.700839308,0.000832048,-1.315442295,0.008219291,-1.788831108,0.000759041,-1.328816705,0.007463166
-1.663989445,0.000835865,-1.166756104,0.005304532,-1.695513834,0.000976018,-1.191083561,0.005248528,-1.73645225,0.000927816,-1.301894432,0.005242113,-1.694680798,0.000814581,-1.07827793,0.005767578,-1.505589719,0.001008922,-1.301792887,0.007030251,-1.667932874,0.000818988,-1.305153165,0.007083063,-1.758662527,0.000839517,-1.336492504,0.007251908
-1.612666819,0.001113041,-1.150441935,0.005828025,-1.647129875,0.001121598,-1.175249594,0.005316581,-1.684579504,0.001052705,-1.291695554,0.005065706,-1.653207484,0.000921608,-1.063620464,0.005470387,-1.459131239,0.001327387,-1.281633844,0.007343601,-1.635084328,0.000876836,-1.304353528,0.006921312,-1.726972664,0.000870396,-1.316103361,0.006331946
-1.538130482,0.001827361,-1.150059503,0.005507201,-1.582828307,0.001449036,-1.167101013,0.005204861,-1.620645957,0.001669697,-1.285325151,0.004831082,-1.603414838,0.00111843,-1.061055029,0.005116436,-1.396336353,0.001982333,-1.282492983,0.007233453,-1.596011182,0.001159706,-1.292063455,0.006454979,-1.691532841,0.00101518,-1.320164693,0.007163294
-1.397047491,0.004494834,-1.106975259,0.004836375,-1.452650114,0.004396922,-1.140829554,0.005018379,-1.479056137,0.004875872,-1.241781097,0.004931454,-1.538438345,0.001593784,-1.054841947,0.005241581,-1.271635436,0.006200767,-1.245136389,0.007148148,-1.550897964,0.00126917,-1.288383919,0.006355711,-1.649947139,0.001106419,-1.305426871,0.007174699