A1-LCD-clique-timefreq-normalized,FUS-LCD-clique-timefreq-normalized,EWSR1-LCD-clique-timefreq-normalized,TIA1-LCD-clique-timefreq-normalized
0.075,0.125,0.09,0.06
0.075,0.085,0.02,0.065
0.095,0.105,0.055,0.075
0.12,0.085,0.08,0.095
0.08,0.11,0.035,0.04
0.13,0.075,0.1,0.065
0.13,0.13,0.07,0.095
0.155,0.12,0.05,0.075
0.11,0.085,0.05,0.04
0.115,0.105,0.065,0.085
0.175,0.105,0.035,0.07
0.165,0.16,0.055,0.07
0.12,0.13,0.08,0.035
0.07,0.125,0.08,0.05
0.115,0.095,0.06,0.06
0.13,0.13,0.06,0.09
0.135,0.1,0.055,0.08
0.12,0.09,0.1,0.08
0.18,0.115,0.045,0.035
0.125,0.085,0.09,0.06
0.125,0.16,0.06,0.04
0.16,0.105,0.095,0.055
0.075,0.145,0.045,0.065
0.135,0.125,0.09,0.07
0.08,0.09,0.06,0.075
0.115,0.155,0.04,0.07
0.145,0.145,0.115,0.045
0.145,0.145,0.06,0.055
0.11,0.115,0.03,0.075
0.135,0.085,0.07,0.07
0.11,0.07,0.065,0.11
0.135,0.145,0.08,0.045
0.11,0.095,0.04,0.045
0.095,0.12,0.05,0.06
0.09,0.155,0.085,0.06
0.12,0.105,0.05,0.095
0.195,0.1,0.03,0.07
0.15,0.08,0.075,0.065
0.15,0.135,0.025,0.055
0.12,0.135,0.05,0.07
0.145,0.125,0.085,0.09
0.12,0.125,0.05,0.105
0.135,0.09,0.045,0.085
0.14,0.07,0.075,0.08
0.145,0.14,0.095,0.07
0.135,0.125,0.075,0.07
0.115,0.115,0.135,0.045
0.135,0.115,0.075,0.06
0.165,0.125,0.05,0.03
0.105,0.09,0.05,0.06
0.13,0.12,0.07,0.055
0.15,0.09,0.11,0.035
0.135,0.11,0.1,0.055
0.11,0.12,0.085,0.075
0.11,0.145,0.075,0.08
0.135,0.11,0.085,0.09
0.14,0.055,0.085,0.08
0.125,0.13,0.055,0.08
0.15,0.12,0.09,0.055
0.185,0.13,0.06,0.06
0.125,0.095,0.065,0.075
0.155,0.115,0.105,0.1
0.15,0.105,0.09,0.075
0.065,0.11,0.07,0.08
0.125,0.145,0.09,0.03
0.135,0.105,0.095,0.085
0.12,0.125,0.08,0.05
0.165,0.13,0.125,0.06
0.125,0.145,0.115,0.07
0.11,0.145,0.085,0.035
0.17,0.115,0.11,0.05
0.18,0.145,0.2,0.06
0.155,0.105,0.125,0.035
0.155,0.1,0.11,0.055
0.11,0.15,0.145,0.08
0.105,0.15,0.13,0.06
0.135,0.135,0.08,0.055
0.115,0.125,0.17,0.085
0.155,0.1,0.12,0.07
0.09,0.085,0.12,0.05
0.14,0.115,0.1,0.055
0.125,0.15,0.11,0.09
0.135,0.165,0.13,0.04
0.095,0.115,0.15,0.085
0.17,0.09,0.135,0.085
0.125,0.125,0.09,0.075
0.145,0.115,0.12,0.09
0.125,0.16,0.22,0.075
0.115,0.16,0.2,0.035
0.125,0.11,0.265,0.055
0.115,0.1,0.21,0.1
0.145,0.145,0.175,0.06
0.155,0.1,0.215,0.085
0.11,0.105,0.235,0.06
0.135,0.12,0.24,0.07
0.18,0.12,0.12,0.09
0.125,0.11,0.17,0.065
0.14,0.14,0.29,0.04
0.12,0.125,0.11,0.075
0.115,0.085,0.22,0.09
0.175,0.12,0.215,0.09
0.145,0.145,0.2,0.06
0.13,0.07,0.305,0.09
0.145,0.125,0.3,0.12
0.145,0.085,0.18,0.105
0.16,0.08,0.125,0.075
0.105,0.11,0.235,0.065
0.13,0.11,0.175,0.1
0.145,0.125,0.315,0.11
0.145,0.115,0.145,0.085
0.185,0.095,0.145,0.11
0.11,0.16,0.205,0.115
0.16,0.13,0.245,0.085
0.115,0.14,0.3,0.09
0.16,0.105,0.215,0.16
0.15,0.115,0.18,0.06
0.12,0.17,0.235,0.08
0.185,0.12,0.3,0.13
0.135,0.09,0.315,0.165
0.165,0.12,0.245,0.1
0.12,0.12,0.155,0.125
0.13,0.12,0.245,0.1
0.135,0.145,0.25,0.15
0.11,0.115,0.34,0.1
0.145,0.095,0.345,0.18
0.15,0.14,0.18,0.145
0.185,0.105,0.195,0.13
0.15,0.105,0.12,0.13
0.2,0.125,0.135,0.155
0.11,0.08,0.145,0.195
0.135,0.16,0.145,0.205
0.125,0.1,0.165,0.185
0.18,0.165,0.195,0.115
0.11,0.17,0.09,0.165
0.195,0.17,0.135,0.21
0.125,0.135,0.23,0.18
0.155,0.115,0.115,0.195
0.16,0.18,0.245,0.16
0.115,0.205,0.385,0.22
0.125,0.12,0.355,0.17
0.15,0.125,0.25,0.21
0.16,0.215,0.25,0.195
0.165,0.125,0.265,0.25
0.165,0.155,0.33,0.19
0.17,0.135,0.26,0.195
0.165,0.18,0.215,0.2
0.19,0.21,0.095,0.16
0.2,0.185,0.275,0.195
0.18,0.22,0.205,0.26
0.17,0.155,0.165,0.2
0.11,0.185,0.345,0.235
0.2,0.225,0.34,0.265
0.215,0.23,0.2,0.23
0.15,0.155,0.27,0.17
0.155,0.16,0.355,0.19
0.13,0.14,0.16,0.17
0.225,0.145,0.285,0.235
0.18,0.175,0.3,0.17
0.2,0.245,0.26,0.23
0.185,0.165,0.19,0.245
0.145,0.155,0.32,0.265
0.18,0.19,0.29,0.285
0.17,0.19,0.205,0.235
0.185,0.17,0.27,0.205
0.185,0.205,0.175,0.2
0.215,0.24,0.205,0.2
0.26,0.215,0.205,0.205
0.14,0.155,0.265,0.2
0.205,0.245,0.23,0.225
0.23,0.19,0.32,0.175
0.205,0.235,0.295,0.245
0.225,0.19,0.23,0.225
0.19,0.18,0.14,0.145
0.19,0.205,0.24,0.215
0.135,0.16,0.365,0.25
0.155,0.22,0.285,0.2
0.175,0.21,0.27,0.18
0.255,0.13,0.21,0.24
0.16,0.19,0.21,0.185
0.215,0.22,0.28,0.28
0.19,0.26,0.235,0.205
0.215,0.195,0.14,0.255
0.275,0.275,0.075,0.21
0.185,0.24,0.285,0.18
0.185,0.13,0.215,0.215
0.225,0.2,0.295,0.17
0.195,0.17,0.175,0.26
0.195,0.155,0.115,0.205
0.19,0.18,0.27,0.145
0.2,0.18,0.21,0.23
0.205,0.28,0.215,0.18
0.205,0.195,0.32,0.245
0.24,0.17,0.21,0.225
0.185,0.24,0.24,0.14
0.235,0.21,0.165,0.165
0.2,0.2,0.255,0.24
0.225,0.215,0.18,0.19
0.175,0.175,0.19,0.16
0.185,0.205,0.29,0.235
0.17,0.215,0.295,0.23
0.22,0.17,0.275,0.3
0.215,0.215,0.335,0.235
0.225,0.25,0.255,0.175
0.17,0.195,0.33,0.195
0.24,0.23,0.33,0.16
0.18,0.215,0.21,0.22
0.21,0.235,0.21,0.16
0.2,0.24,0.2,0.145
0.195,0.205,0.31,0.29
0.21,0.235,0.205,0.19
0.2,0.23,0.275,0.175
0.185,0.285,0.29,0.205
0.23,0.195,0.32,0.17
0.21,0.165,0.15,0.155
0.21,0.165,0.235,0.22
0.195,0.185,0.29,0.295