S4Yx30-hub-timefreq-normalized,S9Yx15-hub-timefreq-normalized,S12Y3x10-hub-timefreq-normalized,S24Y6x5-hub-timefreq-normalized,S120Y30-hub-timefreq-normalized,Sc_S4Yx30-hub-timefreq-normalized,SSYx50-hub-timefreq-normalized,YSx75-hub-timefreq-normalized,Yx150-hub-timefreq-normalized,YYSx50-hub-timefreq-normalized
0.04,0.035,0.035,0,0,0.03,0.05,0.02,0.04,0.065
0.09,0.015,0.07,0.065,0.01,0.07,0.02,0.1,0.055,0.045
0.06,0,0.03,0,0,0.095,0.005,0.01,0.05,0.035
0.135,0.005,0.065,0,0,0.06,0.02,0.005,0.09,0.085
0.035,0.04,0.1,0,0.01,0.02,0.1,0.035,0.035,0.08
0.115,0.01,0.05,0.02,0.01,0.045,0.11,0.08,0.09,0.09
0.005,0.02,0.07,0,0,0.08,0.07,0.095,0.07,0.04
0.065,0.065,0.04,0,0,0.03,0.065,0.025,0.015,0.03
0.035,0.01,0.015,0,0.015,0.015,0.03,0.125,0.045,0.065
0.04,0.09,0.04,0.175,0.12,0.025,0.04,0.01,0.065,0.075
0,0.06,0.025,0.015,0,0.01,0.02,0.03,0.015,0.055
0.015,0.035,0.085,0.045,0.005,0.03,0.045,0,0.05,0.045
0,0.08,0.02,0.01,0,0.025,0.04,0,0.035,0.035
0.055,0.005,0.005,0.065,0.035,0.015,0.06,0.095,0.05,0.02
0.055,0.065,0.04,0.025,0.05,0.05,0.02,0.075,0.05,0.055
0.02,0.015,0.015,0.005,0,0.095,0.065,0.01,0.02,0.095
0.05,0.02,0.08,0.055,0,0,0.085,0.015,0.03,0.015
0.085,0.025,0.11,0.075,0.005,0.03,0.07,0.135,0.055,0.09
0.015,0.11,0.01,0.025,0,0.045,0.095,0.055,0.035,0.195
0.055,0.075,0.015,0.075,0,0.02,0.005,0.045,0.035,0.015
0.005,0.035,0.02,0,0,0.015,0.015,0.035,0.105,0
0,0.025,0.05,0.035,0.005,0.005,0.03,0.005,0.105,0.01
0.015,0.045,0.045,0.015,0.05,0.005,0.015,0.045,0.065,0
0.055,0.01,0.035,0.16,0,0.145,0.02,0.005,0.045,0.01
0,0.01,0.055,0.115,0,0.04,0.095,0.065,0.01,0.06
0.025,0.07,0.015,0,0.02,0.06,0.025,0.045,0.075,0.03
0,0.045,0.035,0.02,0,0.16,0.03,0.035,0.08,0.065
0.04,0.095,0.08,0,0.245,0.05,0.06,0.065,0.035,0.06
0.03,0.06,0.04,0,0.01,0.01,0.08,0.165,0.06,0.025
0.07,0.045,0.05,0.02,0,0.12,0.08,0.145,0.11,0.06
0.04,0.025,0.015,0,0,0,0.02,0.06,0,0.065
0.03,0.04,0.07,0.06,0.025,0.09,0.07,0.055,0.035,0.095
0.03,0.08,0.04,0.045,0.01,0.075,0.03,0.025,0.015,0.05
0.05,0.01,0.035,0.12,0.355,0.095,0.005,0.05,0.02,0.06
0.005,0.015,0.01,0,0,0.085,0.075,0.1,0.035,0.015
0.03,0.02,0.07,0,0.005,0.01,0.145,0.02,0.04,0.05
0.15,0.01,0.1,0.02,0.01,0.025,0.085,0.045,0.07,0.155
0.025,0.025,0.03,0.005,0.02,0.02,0.045,0,0,0.035
0.06,0.035,0.04,0.06,0,0.055,0.02,0.025,0.095,0.05
0.015,0.015,0.02,0.03,0.125,0.035,0.03,0.03,0.025,0.015
0.06,0.02,0.02,0.025,0.34,0.015,0.1,0,0.035,0.045
0,0.01,0.025,0,0.59,0.075,0.065,0.025,0.085,0.02
0.085,0.045,0.1,0.21,0,0.005,0.03,0.02,0.04,0.055
0.065,0.05,0.025,0.045,0.01,0.03,0.01,0.045,0.005,0.015
0.1,0.02,0.065,0.07,0.01,0.055,0.04,0.05,0.04,0.045
0.02,0.105,0.06,0,0,0.055,0.015,0.105,0.035,0.015
0.055,0,0.05,0,0,0.01,0.06,0.02,0.015,0.04
0.065,0.015,0.05,0,0.135,0.135,0.045,0.04,0.005,0.025
0.03,0.01,0.01,0.26,0.01,0.085,0.07,0,0.07,0.005
0.045,0.065,0.065,0.145,0.13,0.015,0.04,0.06,0.02,0
0.075,0.01,0.155,0.025,0,0.005,0.02,0.005,0.035,0.025
0.07,0.025,0.065,0.15,0.085,0.17,0.025,0.01,0.09,0.035
0.005,0.045,0.015,0.055,0.01,0.035,0.01,0.005,0.035,0.085
0.05,0.02,0.005,0,0.01,0.01,0.035,0.02,0.06,0.06
0.065,0.045,0.01,0.015,0,0.075,0.155,0.03,0.14,0
0.005,0.025,0.08,0.01,0,0.06,0.02,0.085,0.065,0.02
0.06,0.05,0.065,0,0.165,0.13,0.005,0.06,0.025,0.065
0.11,0.015,0.075,0.03,0.405,0.065,0.02,0.045,0.015,0.07
0.02,0.025,0.045,0.17,0,0.025,0.065,0.025,0.03,0.035
0.005,0.11,0.04,0,0.03,0.045,0.055,0.075,0.045,0.015
0.025,0.045,0.115,0.025,0,0.025,0.005,0.015,0.045,0.02
0.07,0.02,0.065,0.01,0,0.02,0.075,0.005,0.045,0.11
0.01,0.005,0.055,0.05,0.005,0.08,0.05,0.02,0.07,0
0.06,0.05,0.025,0.005,0.01,0.025,0.03,0.1,0.02,0.055
0.06,0.01,0.035,0,0.045,0.06,0.05,0.01,0.1,0
0.08,0.015,0.02,0.04,0.015,0.06,0.045,0.03,0.05,0.045
0.1,0.085,0.04,0.005,0,0,0.035,0.05,0.065,0.05
0.045,0.035,0.08,0.07,0,0.07,0.04,0.065,0.13,0.05
0.03,0.005,0.04,0.005,0,0,0.01,0.05,0.02,0.055
0.085,0.05,0.01,0,0,0.115,0.02,0.005,0.09,0.045
0.08,0.025,0.015,0.155,0.015,0.025,0.11,0,0.02,0.035
0.01,0.045,0.03,0.125,0,0.025,0,0.075,0.075,0.13
0.085,0.045,0.05,0.27,0,0.07,0.09,0.03,0.025,0.01
0.02,0.035,0,0.02,0.01,0.08,0.005,0.03,0.045,0.015
0.025,0.03,0.025,0.005,0.03,0.035,0.1,0.035,0.06,0.025
0.065,0.01,0.025,0,0,0.045,0.05,0.06,0.015,0.03
0.075,0.015,0.145,0.08,0.11,0.05,0.015,0.005,0.025,0.075
0.01,0.045,0.01,0,0.2,0,0.03,0.03,0,0.035
0.07,0.085,0.05,0.015,0,0.035,0.045,0.04,0.04,0.125
0,0.045,0.02,0.12,0,0.03,0.03,0.025,0.02,0.105
0.04,0.09,0.03,0.175,0.03,0.005,0.115,0.09,0.035,0.01
0.015,0.065,0.055,0.065,0.01,0,0.035,0.035,0.01,0.05
0.07,0.02,0.025,0.105,0.005,0.01,0.015,0.015,0.045,0.02
0.11,0.02,0.015,0.02,0.08,0.02,0.065,0.125,0.04,0.055
0.045,0.1,0.025,0.005,0.05,0.015,0.035,0.1,0.05,0.01
0.06,0.04,0.005,0.015,0.13,0.025,0.01,0.015,0.045,0.115
0.055,0.06,0.04,0.075,0.05,0.075,0.035,0.015,0.02,0.04
0.03,0.04,0.02,0.15,0.05,0.04,0.055,0.01,0.12,0.11
0,0.065,0.135,0.005,0.11,0.015,0.07,0.055,0.045,0.025
0,0.085,0.07,0.01,0.095,0.045,0.05,0.06,0.04,0.005
0.02,0.095,0.1,0.075,0,0.015,0.015,0.09,0.015,0.01
0.065,0.01,0,0.03,0,0.13,0.035,0.11,0.005,0.075
0.075,0.26,0.075,0.005,0,0.06,0.095,0.07,0.05,0.105
0.005,0,0.055,0.04,0.145,0.05,0.085,0.06,0.065,0.03
0.07,0.055,0.04,0.135,0,0.025,0.045,0.05,0.02,0.025
0.105,0.01,0.05,0.01,0,0.02,0.015,0.06,0.12,0.025
0.015,0.015,0.03,0.03,0,0.055,0.06,0.03,0.03,0.145
0.015,0.075,0.015,0.01,0,0.05,0.035,0.105,0.07,0.04
0.07,0.085,0.12,0,0,0.06,0.005,0.125,0.095,0.005
0.035,0.01,0.01,0.17,0,0.025,0.045,0.045,0.05,0.055
0.02,0.06,0.06,0.005,0.005,0.03,0.03,0.07,0.045,0.055
0,0.02,0.03,0.005,0,0.015,0.07,0.01,0.04,0.04
0.12,0.035,0.02,0.02,0,0.04,0.08,0.05,0,0.005
0.005,0.035,0.03,0.01,0,0.03,0.06,0.01,0.07,0.045
0.01,0.015,0.025,0.005,0,0.04,0.005,0.025,0.04,0.03
0.01,0.06,0.055,0.18,0,0.12,0.075,0.025,0.02,0.025
0.115,0.015,0.015,0.01,0,0.08,0.055,0.055,0.035,0.055
0.08,0.025,0.02,0,0.06,0.07,0.005,0.075,0.04,0.01
0.015,0.005,0.015,0.08,0,0.04,0.09,0.005,0,0.035
0.08,0.08,0.025,0.165,0.075,0.06,0.015,0.035,0.015,0
0.015,0.04,0.07,0.025,0,0.015,0.035,0.03,0.05,0.04
0.1,0.025,0,0.02,0.005,0.005,0.075,0.06,0.12,0.085
0.055,0.055,0.035,0.15,0,0.005,0.02,0,0.015,0.045
0.09,0.005,0.015,0,0.035,0.055,0.005,0.035,0.04,0.035
0.145,0.045,0.06,0,0,0.12,0.03,0,0.005,0.06
0.005,0.035,0.025,0.02,0,0.02,0.005,0.08,0.03,0.02
0.02,0.035,0.06,0.03,0.71,0.065,0.06,0.01,0,0.01
0.015,0.045,0.03,0,0.415,0.04,0.025,0.045,0.035,0.035
0.12,0.015,0.035,0,0.01,0.04,0.03,0.1,0.055,0.125
0.025,0.11,0.03,0,0.005,0.06,0.105,0.055,0.055,0.04
0.015,0.095,0.08,0.015,0,0.04,0.12,0,0.05,0.16
0.07,0.11,0.035,0.06,0.745,0.085,0.055,0.02,0.04,0.03
0.105,0.045,0.065,0.01,0.015,0.035,0.05,0.01,0,0.035
0.045,0.03,0.065,0.165,0,0.03,0.045,0.11,0.065,0.005
0.07,0.07,0.02,0,0.01,0.035,0.055,0.065,0.04,0.04
0.04,0,0.04,0.11,0.015,0.015,0.06,0.035,0.05,0.035
0.095,0.075,0.045,0.07,0,0.12,0.01,0.02,0.01,0.01
0.035,0.08,0.03,0.015,0,0.02,0.005,0,0.02,0.045
0,0.02,0.12,0,0,0.025,0,0.085,0.09,0
0.07,0.07,0.03,0.035,0,0.03,0.005,0.025,0.005,0.075
0.075,0.085,0.08,0,0,0.165,0.035,0.105,0.05,0.07
0.04,0.02,0.01,0.005,0.02,0.065,0.065,0.035,0.04,0.115
0.005,0.015,0.085,0.1,0,0.035,0.015,0.005,0.085,0.005
0.07,0.03,0.105,0.16,0,0.06,0.07,0.03,0.075,0.045
0,0.05,0.02,0.01,0,0.055,0.01,0.095,0.04,0.045
0.02,0.035,0.03,0.015,0,0.105,0.025,0.125,0,0.01
0.02,0.09,0.025,0.03,0,0.085,0.04,0.05,0.085,0.06
0.05,0.04,0.005,0,0,0,0.025,0.12,0.085,0.135
0.005,0.045,0.005,0.075,0,0.065,0.07,0.045,0.055,0.04
0.05,0.055,0.04,0.005,0,0.045,0,0.055,0.08,0.05
0.15,0.015,0.035,0.005,0,0.04,0.03,0.035,0.03,0.025
0.06,0.1,0.055,0,0,0.03,0.08,0.03,0.03,0.15
0.01,0.015,0.11,0.025,0,0.015,0.03,0.015,0.04,0.025
0.015,0.045,0.065,0.005,0,0,0.035,0,0.08,0.055
0.075,0.045,0.025,0,0,0.035,0.015,0.06,0.015,0.05
0.045,0.025,0.02,0,0.14,0.035,0.065,0.015,0,0.085
0.105,0.03,0.04,0,0,0.02,0.025,0.1,0.05,0.07
0.025,0.02,0.03,0.015,0.035,0.02,0.015,0.005,0.075,0.005
0.015,0.035,0.1,0.035,0.73,0.04,0.005,0.085,0.03,0.005
0.035,0.03,0.08,0.005,0.095,0.015,0.055,0.08,0.045,0.025
0.01,0.29,0.035,0.085,0,0.05,0.115,0.08,0.04,0.025
0.12,0.07,0.035,0.015,0.11,0.09,0.035,0.04,0.04,0.035
0.04,0.06,0.055,0.06,0.045,0.085,0,0.02,0.025,0.045
0,0.03,0.01,0.02,0.04,0.065,0,0.03,0.09,0.08
0.025,0.03,0.135,0.085,0,0.035,0.125,0.04,0.025,0.015
0.045,0.105,0.125,0.06,0.03,0.055,0.015,0.085,0,0.05
0.035,0.06,0.035,0.125,0,0.01,0.045,0.01,0.01,0.025
0.06,0.075,0.05,0,0.08,0.045,0.015,0.045,0.08,0.03
0.06,0.07,0.025,0.005,0.035,0.01,0.05,0.02,0.04,0.01
0.03,0.095,0.01,0,0,0.02,0.065,0.12,0.075,0.1
0.02,0.05,0.04,0.2,0,0.075,0.04,0.015,0.1,0.045
0.085,0.035,0,0.03,0.155,0.045,0.025,0.085,0.02,0.005
0,0.06,0.03,0,0,0.04,0.025,0.035,0.005,0.045
0.03,0.025,0.065,0.15,0,0.01,0.06,0.035,0.04,0.05
0.035,0.005,0.065,0,0,0.02,0.005,0.025,0.085,0.03
0.05,0.02,0,0.01,0,0.02,0.095,0.155,0.055,0.035
0.055,0.005,0.04,0.14,0,0.06,0.07,0.055,0.1,0.065
0,0.085,0.055,0.05,0,0.01,0.045,0.02,0.04,0.01
0.015,0.105,0.06,0,0,0.065,0.04,0.025,0.05,0.01
0.03,0.04,0.055,0.005,0,0.015,0.09,0.07,0.055,0.155
0.2,0.025,0.11,0.05,0,0.07,0.025,0,0.055,0.07
0.07,0.12,0.045,0.005,0,0.015,0.035,0.07,0.045,0.025
0.075,0.02,0.02,0.01,0,0.045,0.02,0.04,0.03,0.095
0.045,0.095,0.015,0.045,0,0.02,0.02,0.095,0.005,0.045
0.05,0.08,0.005,0.28,0,0.055,0.025,0.065,0.025,0.055
0,0.105,0.165,0,0,0,0.035,0.05,0.01,0.03
0.005,0.08,0.035,0,0,0.05,0.105,0.03,0.04,0.08
0.055,0.045,0.05,0,0,0.005,0.03,0.115,0.085,0.055
0.095,0.035,0.045,0.015,0,0.065,0.015,0.015,0.085,0.115
0.035,0.05,0.115,0.01,0,0.01,0.035,0.04,0.045,0.045
0.005,0.025,0.03,0.005,0,0.035,0.055,0.03,0.12,0.015
0,0.02,0.065,0.2,0,0.015,0.05,0.105,0.02,0.065
0.045,0.04,0.085,0.1,0.525,0.175,0,0.025,0.04,0.02
0.045,0.035,0.1,0.105,0.01,0.05,0.035,0.035,0.065,0
0.06,0.015,0.055,0.01,0.005,0.13,0.11,0.035,0.075,0.08
0.025,0.045,0.01,0.17,0.005,0.02,0.055,0.06,0.065,0
0,0.13,0.135,0.075,0.045,0,0.065,0.045,0.05,0.05
0,0.015,0.03,0.02,0.55,0.105,0.09,0.045,0.085,0.025
0.06,0.03,0,0.01,0.005,0.065,0.055,0.035,0.025,0.02
0.045,0.075,0.02,0,0,0.03,0.025,0.025,0.015,0.06
0.045,0.045,0.06,0.1,0.15,0.015,0,0.005,0.055,0.015
0.08,0.005,0.015,0.01,0,0.025,0.13,0.09,0.025,0.05
0.015,0.095,0.065,0.01,0.08,0.09,0.1,0.01,0.055,0
0.095,0.115,0.025,0.175,0.19,0.07,0.055,0.025,0.04,0.015
0.01,0.06,0.02,0.09,0,0.03,0.07,0.1,0.06,0.015
0.055,0.06,0.045,0.005,0,0.055,0.025,0.055,0.08,0.05
0.015,0.025,0.04,0.055,0,0.07,0.04,0.03,0.04,0.06
0.145,0,0.02,0.005,0,0.03,0.11,0.035,0.035,0.05
0.005,0.125,0.005,0.01,0.54,0.18,0.065,0.04,0.025,0.01
0.09,0.045,0.04,0.005,0,0.01,0.055,0.06,0.005,0.005
0.085,0.055,0.07,0.065,0,0.105,0.03,0.025,0.06,0.08
0.02,0.025,0.015,0,0,0.005,0.115,0.02,0.08,0.01
0.11,0.08,0.015,0.39,0,0.03,0.005,0.095,0.095,0.005
0.15,0.05,0.05,0.09,0.01,0.065,0.015,0.045,0.06,0.03
0.015,0.01,0.045,0.17,0,0.005,0.05,0.1,0.015,0.025
0.01,0.03,0.055,0.06,0,0.015,0.07,0.005,0.045,0.005
0.005,0.095,0.025,0.01,0,0.09,0.055,0.01,0.015,0.03
0.015,0.065,0.035,0.01,0,0.03,0.09,0.005,0.035,0.08
0.095,0.005,0.09,0,0,0.085,0.045,0.045,0.105,0.1
0.02,0,0.04,0,0,0,0.055,0.175,0.015,0.075
0.075,0.01,0.005,0.015,0,0.055,0.05,0,0.03,0.065
0.02,0.06,0.065,0.04,0,0.025,0.08,0.01,0.045,0.095
0.065,0.115,0.08,0.005,0,0.06,0.115,0.09,0.12,0.04
0.065,0.03,0.025,0.085,0,0.06,0.02,0.025,0.01,0.05
0.01,0.015,0.14,0.04,0,0.005,0.015,0.015,0.02,0.07
0.025,0.095,0.13,0.01,0,0.11,0.075,0.025,0.025,0.07