A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-k2,A1-LCD-k2-error,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-k2,FUS-LCD-k2-error,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-k2,EWSR1-LCD-k2-error,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-k2,TIA1-LCD-k2-error
0.001060646,8.05E-06,0.387596672,0.012345323,0.001196519,8.83E-06,0.38337871,0.012991826,0.001183102,6.72E-06,0.341274764,0.012290709,0.001111996,7.62E-06,0.396550451,0.012237604
0.001522028,9.87E-06,0.360940233,0.012485628,0.001667392,9.64E-06,0.367619436,0.012313718,0.001521845,7.51E-06,0.340487862,0.012589126,0.001535989,9.31E-06,0.39276223,0.012496722
0.002038801,1.04E-05,0.360227571,0.012343718,0.002189345,1.08E-05,0.369396111,0.01274869,0.001898614,6.67E-06,0.380918604,0.012774007,0.002032903,9.66E-06,0.379825235,0.012519133
0.002672589,1.43E-05,0.380118311,0.012116353,0.002720012,9.80E-06,0.390899522,0.013478982,0.002271543,7.74E-06,0.362658769,0.012865528,0.002505873,8.80E-06,0.402478373,0.013159502
0.003374532,1.34E-05,0.367880591,0.012863097,0.003256082,1.08E-05,0.356164376,0.012336993,0.002692562,8.25E-06,0.34520701,0.012110236,0.002978281,1.02E-05,0.385885716,0.012668489
0.004061854,1.34E-05,0.358636261,0.012070635,0.003886394,1.42E-05,0.385437533,0.013386653,0.00311279,8.13E-06,0.35636696,0.012750559,0.003613097,1.32E-05,0.393740015,0.013192145
0.004817632,1.45E-05,0.395026863,0.01264023,0.004529841,1.16E-05,0.385607437,0.013173771,0.003489874,7.30E-06,0.342141537,0.011392101,0.004236295,1.14E-05,0.404332595,0.01282695
0.005552592,1.60E-05,0.379151623,0.01337417,0.005195044,1.36E-05,0.372570435,0.012755587,0.003869683,7.46E-06,0.349002376,0.012535818,0.004812113,1.27E-05,0.371015295,0.012571239
0.006309877,1.46E-05,0.395560882,0.013520309,0.005885906,1.33E-05,0.383281129,0.012894363,0.004298303,8.38E-06,0.335725837,0.012462943,0.005501687,1.34E-05,0.411750292,0.013285445
0.007075736,1.54E-05,0.363488647,0.011669065,0.006597629,1.49E-05,0.374104785,0.012641686,0.004724104,8.29E-06,0.381493701,0.012260448,0.006297537,1.77E-05,0.390076827,0.012219755
0.007756912,1.09E-05,0.383402449,0.012039463,0.007378537,1.36E-05,0.375078279,0.013192428,0.005176303,9.68E-06,0.360464099,0.012829677,0.007154422,1.61E-05,0.384998932,0.012333409
0.008321615,1.01E-05,0.386436779,0.012360974,0.007990137,1.03E-05,0.380308665,0.012924875,0.00565957,9.56E-06,0.358942178,0.011573038,0.007909734,1.43E-05,0.372509306,0.011696542
0.009018365,1.74E-05,0.372146081,0.012249935,0.008488015,1.05E-05,0.38650145,0.012470619,0.006149773,9.11E-06,0.376053676,0.012626053,0.008836529,2.10E-05,0.400063024,0.013043515
0.009890119,1.49E-05,0.36708503,0.013246137,0.009160651,1.48E-05,0.392178566,0.013204389,0.00663396,1.08E-05,0.347971865,0.011799696,0.009919469,2.19E-05,0.420770586,0.012498297
0.010691622,1.78E-05,0.379416081,0.012576068,0.00990795,1.54E-05,0.374025567,0.013250734,0.007162904,1.08E-05,0.357449417,0.01289333,0.011079019,2.17E-05,0.378413002,0.012419708
0.011597353,1.68E-05,0.374544475,0.01214429,0.010721462,1.53E-05,0.398028763,0.012853181,0.007718777,1.11E-05,0.364901145,0.012296236,0.012429623,2.90E-05,0.419798993,0.013748568
0.012554277,1.97E-05,0.360440081,0.012172633,0.011576848,1.83E-05,0.387389274,0.013097109,0.008233225,9.72E-06,0.380704237,0.012529913,0.013924408,3.11E-05,0.396315992,0.012718916
0.013560514,2.10E-05,0.403461069,0.012564743,0.012544927,2.06E-05,0.370394664,0.01220589,0.00877767,1.02E-05,0.369686645,0.012669306,0.015455297,2.83E-05,0.423615518,0.012887479
0.01466581,2.41E-05,0.403451254,0.012244445,0.013652902,2.21E-05,0.392406696,0.011888107,0.009247753,8.75E-06,0.363399233,0.012596405,0.017281162,4.28E-05,0.39755205,0.012784435
0.015852882,2.13E-05,0.386991674,0.012705962,0.014729618,2.31E-05,0.398989519,0.012615495,0.009769112,1.21E-05,0.394500725,0.013012675,0.019629357,4.74E-05,0.393670615,0.01224938
0.017015155,2.56E-05,0.402434674,0.012506011,0.015870871,1.92E-05,0.37539284,0.012160503,0.010353016,1.16E-05,0.390199489,0.012355652,0.022404319,5.90E-05,0.393595899,0.012458325
0.018493766,3.19E-05,0.411286026,0.012059686,0.016911965,2.25E-05,0.405207286,0.013203468,0.01095272,1.12E-05,0.386744272,0.012804602,0.025293749,5.79E-05,0.421820409,0.013529829
0.020096152,3.39E-05,0.400416819,0.012936359,0.018169214,2.82E-05,0.39777984,0.012036945,0.011551872,1.24E-05,0.411149722,0.013466673,0.029091334,8.31E-05,0.401654358,0.01237527
0.021776491,3.20E-05,0.412316121,0.013310759,0.019661684,2.90E-05,0.403459799,0.012382898,0.012183288,1.32E-05,0.387015416,0.011925586,0.034116418,0.000116656,0.416405469,0.012614307
0.023465652,3.46E-05,0.39872709,0.012399763,0.021094844,2.79E-05,0.38779607,0.012604595,0.01285241,1.39E-05,0.383550362,0.012098052,0.040892753,0.000143838,0.410113685,0.013053848
0.025295,4.02E-05,0.408467938,0.012405644,0.022734326,3.36E-05,0.425108015,0.011996678,0.013576598,1.47E-05,0.379009048,0.01215265,0.050181824,0.000225728,0.389043786,0.012516237
0.027399527,4.55E-05,0.427445319,0.011940654,0.024461626,3.49E-05,0.400633772,0.013034173,0.01430418,1.38E-05,0.40460237,0.013116556,0.066058778,0.00043166,0.423080358,0.013156032
0.029857291,4.90E-05,0.428853273,0.013071081,0.026395005,3.86E-05,0.402059557,0.012154997,0.015028047,1.51E-05,0.384172387,0.011957566,0.116531415,0.002280859,0.44103072,0.013408197